Time [s],Channel 0
2021-01-05T15:40:15.530828000+00:00,0
2021-01-05T15:40:15.530830880+00:00,1
2021-01-05T15:40:15.530849120+00:00,0
2021-01-05T15:40:15.530867200+00:00,1
2021-01-05T15:40:15.530876320+00:00,0
2021-01-05T15:40:15.530894400+00:00,1
2021-01-05T15:40:15.530912640+00:00,0
2021-01-05T15:40:15.530921600+00:00,1
2021-01-05T15:40:15.530939680+00:00,0
2021-01-05T15:40:15.530957920+00:00,1
2021-01-05T15:40:15.530966880+00:00,0
2021-01-05T15:40:15.531012320+00:00,1
2021-01-05T15:40:15.531030400+00:00,0
2021-01-05T15:40:15.531048480+00:00,1
2021-01-05T15:40:15.531057600+00:00,0
2021-01-05T15:40:15.531075680+00:00,1
2021-01-05T15:40:15.531084800+00:00,0
2021-01-05T15:40:15.531121120+00:00,1
2021-01-05T15:40:15.531130240+00:00,0
2021-01-05T15:40:15.531139200+00:00,1
2021-01-05T15:40:15.531148320+00:00,0
2021-01-05T15:40:15.531157440+00:00,1
2021-01-05T15:40:15.531184640+00:00,0
2021-01-05T15:40:15.531211840+00:00,1
2021-01-05T15:40:15.531220800+00:00,0
2021-01-05T15:40:15.531229920+00:00,1
2021-01-05T15:40:15.531239040+00:00,0
2021-01-05T15:40:15.531284320+00:00,1
2021-01-05T15:40:15.531302400+00:00,0
2021-01-05T15:40:15.531320480+00:00,1
2021-01-05T15:40:15.531329600+00:00,0
2021-01-05T15:40:15.531375040+00:00,1
2021-01-05T15:40:15.531393120+00:00,0
2021-01-05T15:40:15.531411200+00:00,1
2021-01-05T15:40:15.531420320+00:00,0
2021-01-05T15:40:15.531438560+00:00,1
2021-01-05T15:40:15.531456640+00:00,0
2021-01-05T15:40:15.531465760+00:00,1
2021-01-05T15:40:15.531483840+00:00,0
2021-01-05T15:40:15.531501920+00:00,1
2021-01-05T15:40:15.531511040+00:00,0
2021-01-05T15:40:15.531529120+00:00,1
2021-01-05T15:40:15.531547200+00:00,0
2021-01-05T15:40:15.531574400+00:00,1
2021-01-05T15:40:15.531583520+00:00,0
2021-01-05T15:40:15.531592640+00:00,1
2021-01-05T15:40:15.531601600+00:00,0
2021-01-05T15:40:15.531610720+00:00,1
2021-01-05T15:40:15.531619840+00:00,0
2021-01-05T15:40:15.531628800+00:00,1
2021-01-05T15:40:15.531637920+00:00,0
2021-01-05T15:40:15.531646880+00:00,1
2021-01-05T15:40:15.531656000+00:00,0
2021-01-05T15:40:15.531665120+00:00,1
2021-01-05T15:40:15.531674080+00:00,0
2021-01-05T15:40:15.531683200+00:00,1
2021-01-05T15:40:15.531692320+00:00,0
2021-01-05T15:40:15.531719520+00:00,1
2021-01-05T15:40:15.531728480+00:00,0
2021-01-05T15:40:15.531737600+00:00,1
2021-01-05T15:40:15.531746720+00:00,0
2021-01-05T15:40:15.531755680+00:00,1
2021-01-05T15:40:15.531764800+00:00,0
2021-01-05T15:40:15.531773760+00:00,1
2021-01-05T15:40:15.531782880+00:00,0
2021-01-05T15:40:15.531828160+00:00,1
2021-01-05T15:40:15.531846400+00:00,0
2021-01-05T15:40:15.531864480+00:00,1
