Time [s],Channel 0
2020-12-22T23:00:46.222412000+00:00,0
2020-12-22T23:00:46.222448000+00:00,1
2020-12-22T23:00:46.222466240+00:00,0
2020-12-22T23:00:46.222475200+00:00,1
2020-12-22T23:00:46.222484320+00:00,0
2020-12-22T23:00:46.222538720+00:00,1
2020-12-22T23:00:46.222556800+00:00,0
2020-12-22T23:00:46.222584000+00:00,1
2020-12-22T23:00:46.222629280+00:00,0
2020-12-22T23:00:46.222638400+00:00,1
2020-12-22T23:00:46.222647360+00:00,0
2020-12-22T23:00:46.222656480+00:00,1
2020-12-22T23:00:46.222665600+00:00,0
2020-12-22T23:00:46.222720000+00:00,1
2020-12-22T23:00:46.222738080+00:00,0
2020-12-22T23:00:46.222747040+00:00,1
2020-12-22T23:00:46.222810560+00:00,0
2020-12-22T23:00:46.222819680+00:00,1
2020-12-22T23:00:46.222828640+00:00,0
2020-12-22T23:00:46.222846880+00:00,1
2020-12-22T23:00:46.222864960+00:00,0
2020-12-22T23:00:46.222901120+00:00,1
2020-12-22T23:00:46.222919360+00:00,0
2020-12-22T23:00:46.222937440+00:00,1
2020-12-22T23:00:46.222955520+00:00,0
2020-12-22T23:00:46.222991840+00:00,1
2020-12-22T23:00:46.223009920+00:00,0
2020-12-22T23:00:46.223028160+00:00,1
2020-12-22T23:00:46.223046240+00:00,0
2020-12-22T23:00:46.223082400+00:00,1
2020-12-22T23:00:46.223100640+00:00,0
2020-12-22T23:00:46.223118720+00:00,1
2020-12-22T23:00:46.223127840+00:00,0
2020-12-22T23:00:46.223173120+00:00,1
2020-12-22T23:00:46.223191200+00:00,0
2020-12-22T23:00:46.223200320+00:00,1
2020-12-22T23:00:46.223209280+00:00,0
2020-12-22T23:00:46.223218400+00:00,1
2020-12-22T23:00:46.223263680+00:00,0
2020-12-22T23:00:46.223272800+00:00,1
2020-12-22T23:00:46.223281920+00:00,0
2020-12-22T23:00:46.223300000+00:00,1
2020-12-22T23:00:46.223309120+00:00,0
2020-12-22T23:00:46.223354400+00:00,1
2020-12-22T23:00:46.223372480+00:00,0
2020-12-22T23:00:46.223381600+00:00,1
2020-12-22T23:00:46.223390560+00:00,0
2020-12-22T23:00:46.223399680+00:00,1
2020-12-22T23:00:46.223444960+00:00,0
2020-12-22T23:00:46.223454080+00:00,1
2020-12-22T23:00:46.223463200+00:00,0
2020-12-22T23:00:46.223481280+00:00,1
2020-12-22T23:00:46.223490240+00:00,0
2020-12-22T23:00:46.223535680+00:00,1
2020-12-22T23:00:46.223553760+00:00,0
2020-12-22T23:00:46.223562880+00:00,1
2020-12-22T23:00:46.223571840+00:00,0
2020-12-22T23:00:46.223580960+00:00,1
2020-12-22T23:00:46.223626240+00:00,0
2020-12-22T23:00:46.223635360+00:00,1
2020-12-22T23:00:46.223644320+00:00,0
2020-12-22T23:00:46.223653440+00:00,1
2020-12-22T23:00:46.223671520+00:00,0
2020-12-22T23:00:46.223716800+00:00,1
2020-12-22T23:00:46.223735040+00:00,0
2020-12-22T23:00:46.223744000+00:00,1
2020-12-22T23:00:46.223753120+00:00,0
2020-12-22T23:00:46.223807520+00:00,1
2020-12-22T23:00:46.223825600+00:00,0
2020-12-22T23:00:46.223852800+00:00,1
2020-12-22T23:00:46.223898080+00:00,0
2020-12-22T23:00:46.223907200+00:00,1
2020-12-22T23:00:46.223916160+00:00,0
2020-12-22T23:00:46.223925280+00:00,1
2020-12-22T23:00:46.223934400+00:00,0
2020-12-22T23:00:46.223988800+00:00,1
2020-12-22T23:00:46.224006880+00:00,0
2020-12-22T23:00:46.224015840+00:00,1
2020-12-22T23:00:46.224079360+00:00,0
2020-12-22T23:00:46.224088480+00:00,1
2020-12-22T23:00:46.224097440+00:00,0
2020-12-22T23:00:46.224115520+00:00,1
2020-12-22T23:00:46.224133760+00:00,0
2020-12-22T23:00:46.224169920+00:00,1
2020-12-22T23:00:46.224188160+00:00,0
2020-12-22T23:00:46.224206240+00:00,1
2020-12-22T23:00:46.224224320+00:00,0
2020-12-22T23:00:46.224260640+00:00,1
2020-12-22T23:00:46.224278720+00:00,0
2020-12-22T23:00:46.224296800+00:00,1
2020-12-22T23:00:46.224315040+00:00,0
2020-12-22T23:00:46.224351200+00:00,1
2020-12-22T23:00:46.224369440+00:00,0
2020-12-22T23:00:46.224387520+00:00,1
2020-12-22T23:00:46.224396640+00:00,0
2020-12-22T23:00:46.224441920+00:00,1
2020-12-22T23:00:46.224460160+00:00,0
2020-12-22T23:00:46.224469120+00:00,1
2020-12-22T23:00:46.224478240+00:00,0
2020-12-22T23:00:46.224487360+00:00,1
2020-12-22T23:00:46.224532640+00:00,0
2020-12-22T23:00:46.224541760+00:00,1
2020-12-22T23:00:46.224550720+00:00,0
