Time [s],fan_n,fan_p,PTA6,PTA7
-19.810168088,0,0,0,0
-0.000397430,0,1,0,0
-0.000379560,1,1,0,0
0.000000000,0,1,0,0
0.000000022,1,1,0,0
0.000000062,0,1,0,0
0.000000080,1,1,0,0
0.000000128,0,1,0,0
0.000000140,1,1,0,0
0.000000230,0,1,0,0
0.000000234,1,1,0,0
0.000009622,0,1,0,0
0.000044392,0,0,0,0
0.000044396,0,1,0,0
0.000044414,0,0,0,0
0.000044426,0,1,0,0
0.000044474,0,0,0,0
0.000044488,0,1,0,0
0.000044538,0,0,0,0
0.000044552,0,1,0,0
0.000044638,0,0,0,0
0.000044648,0,1,0,0
0.000049990,0,0,0,0
0.001242924,0,1,0,0
0.001246940,1,1,0,0
0.001246948,0,1,0,0
0.001246956,0,0,0,0
0.001246960,0,1,0,0
0.001246990,1,1,0,0
0.001247008,0,1,0,0
0.001247014,0,0,0,0
0.001247026,0,1,0,0
0.001247060,1,1,0,0
0.001247074,0,1,0,0
0.001247080,0,0,0,0
0.001247088,0,1,0,0
0.001247096,1,1,0,0
0.001247110,0,1,0,0
0.001247154,1,1,0,0
0.001247166,0,1,0,0
0.001248756,1,1,0,0
0.004077700,1,1,0,1
0.004078676,1,1,1,1
0.004096064,1,1,1,0
0.004096084,1,1,1,1
0.004096778,1,1,0,1
0.004096784,1,1,0,0
0.004096898,1,0,0,0
0.004096910,1,1,0,0
0.004096956,0,1,0,0
0.004096962,1,0,0,0
0.004096978,1,1,0,0
0.004096988,0,1,0,0
0.004096994,1,1,0,0
0.004097000,0,0,0,0
0.004097002,1,0,0,0
0.004097006,1,1,0,0
0.004097014,1,1,0,1
0.004097020,0,1,0,0
0.004097024,1,1,0,0
0.004097026,1,0,0,0
0.004097030,1,1,0,0
0.005873748,0,1,0,0
0.006420208,0,0,0,0
0.006420218,0,1,0,0
0.006420268,0,0,0,0
0.006420282,0,1,0,0
0.006447554,0,0,0,0
0.006447564,0,1,0,0
0.006447616,0,0,0,0
0.006447626,0,1,0,0
0.006568916,0,0,0,0
0.006568918,0,1,0,0
0.006568932,0,0,0,0
0.006568948,0,1,0,0
0.006568992,0,0,0,0
0.006569012,0,1,0,0
0.006596864,0,0,0,0
0.006596872,0,1,0,0
0.006596884,0,0,0,0
0.006596902,0,1,0,0
0.006596942,0,0,0,0
0.006596984,0,1,0,0
0.006597006,0,0,0,0
0.006597092,0,1,0,0
0.006597118,0,0,0,0
0.006597158,0,1,0,0
0.006624526,0,0,0,0
0.006624538,0,1,0,0
0.006624586,0,0,0,0
0.006624602,0,1,0,0
0.006652532,0,0,0,0
0.006652536,0,1,0,0
0.006718354,0,0,0,0
0.006718358,0,1,0,0
0.006727204,0,0,0,0
0.006727218,0,1,0,0
0.006727262,0,0,0,0
0.006727280,0,1,0,0
0.006737860,0,0,0,0
0.006755438,0,1,0,0
0.006755444,0,0,0,0
0.006755490,0,1,0,0
0.006755502,0,0,0,0
0.006755554,0,1,0,0
0.006755562,0,0,0,0
0.006783576,0,1,0,0
0.006783584,0,0,0,0
0.006783628,0,1,0,0
0.006783644,0,0,0,0
0.006783692,0,1,0,0
0.006783706,0,0,0,0
0.006796580,0,1,0,0
0.006810006,0,0,0,0
0.006810016,0,1,0,0
0.006810064,0,0,0,0
0.006810078,0,1,0,0
0.006827786,0,0,0,0
0.006827792,0,1,0,0
0.006884306,0,0,0,0
0.006884310,0,1,0,0
0.006894036,0,0,0,0
0.006894044,0,1,0,0
0.006894054,0,0,0,0
0.006894076,0,1,0,0
0.006894114,0,0,0,0
0.006894160,0,1,0,0
0.006894178,0,0,0,0
0.006917022,0,1,0,0
0.006917026,0,0,0,0
0.006917076,0,1,0,0
0.006917084,0,0,0,0
0.006941130,0,1,0,0
0.006941134,0,0,0,0
0.006941184,0,1,0,0
0.006941190,0,0,0,0
0.006963534,0,1,0,0
0.006963540,0,0,0,0
0.006963588,0,1,0,0
0.006963600,0,0,0,0
0.006963654,0,1,0,0
0.006963660,0,0,0,0
0.006985052,0,1,0,0
0.006985062,0,0,0,0
0.006985106,0,1,0,0
0.006985122,0,0,0,0
0.006985168,0,1,0,0
0.006985186,0,0,0,0
0.006985212,0,1,0,0
0.006985222,0,0,0,0
0.006985276,0,1,0,0
0.006985288,0,0,0,0
0.006985334,0,1,0,0
0.006985346,0,0,0,0
0.006989048,0,1,0,0
0.007006812,0,0,0,0
0.007006822,0,1,0,0
0.007006872,0,0,0,0
0.007006886,0,1,0,0
0.007006940,0,0,0,0
0.007006946,0,1,0,0
0.007021732,0,0,0,0
0.007021740,0,1,0,0
0.007063460,0,0,0,0
0.007063472,0,1,0,0
0.007070626,0,0,0,0
0.007070632,0,1,0,0
0.007077136,0,0,0,0
0.007078436,0,1,0,0
0.007078448,0,0,0,0
0.007078490,0,1,0,0
0.007078504,0,0,0,0
0.007078550,0,1,0,0
0.007078566,0,0,0,0
0.007097534,0,1,0,0
0.007097540,0,0,0,0
0.007097588,0,1,0,0
0.007097598,0,0,0,0
0.007138350,0,1,0,0
0.007138354,0,0,0,0
0.007138404,0,1,0,0
0.007138408,0,0,0,0
0.007156988,0,1,0,0
0.007156994,0,0,0,0
0.007157042,0,1,0,0
0.007157054,0,0,0,0
0.007175792,0,1,0,0
0.007175802,0,0,0,0
0.007175826,0,1,0,0
0.007175860,0,0,0,0
0.007175884,0,1,0,0
0.007175892,0,0,0,0
0.007175906,0,1,0,0
0.007175922,0,0,0,0
